Character Name	Character	Entity	Hex Entity	Dec	Hex	Bin
BRAILLE PATTERN DOTS-238	⢆	&#10374;	&#x2886	97	61	01100001
BRAILLE PATTERN DOTS-24	⠊	&#10250;	&#x280A	80	50	01010000
BRAILLE PATTERN DOTS-245	⠚	&#10266;	&#x281A	88	58	01011000
BRAILLE PATTERN DOTS-2456	⠺	&#10298;	&#x283A	92	5C	01011100
BRAILLE PATTERN DOTS-24567	⡺	&#10362;	&#x287A	94	5E	01011110
BRAILLE PATTERN DOTS-245678	⣺	&#10490;	&#x28FA	95	5F	01011111
BRAILLE PATTERN DOTS-24568	⢺	&#10426;	&#x28BA	93	5D	01011101
BRAILLE PATTERN DOTS-2457	⡚	&#10330;	&#x285A	90	5A	01011010
BRAILLE PATTERN DOTS-24578	⣚	&#10458;	&#x28DA	91	5B	01011011
BRAILLE PATTERN DOTS-2458	⢚	&#10394;	&#x289A	89	59	01011001
BRAILLE PATTERN DOTS-246	⠪	&#10282;	&#x282A	84	54	01010100
BRAILLE PATTERN DOTS-2467	⡪	&#10346;	&#x286A	86	56	01010110
BRAILLE PATTERN DOTS-24678	⣪	&#10474;	&#x28EA	87	57	01010111
BRAILLE PATTERN DOTS-2468	⢪	&#10410;	&#x28AA	85	55	01010101
BRAILLE PATTERN DOTS-247	⡊	&#10314;	&#x284A	82	52	01010010
BRAILLE PATTERN DOTS-2478	⣊	&#10442;	&#x28CA	83	53	01010011
BRAILLE PATTERN DOTS-248	⢊	&#10378;	&#x288A	81	51	01010001
BRAILLE PATTERN DOTS-25	⠒	&#10258;	&#x2812	72	48	01001000
BRAILLE PATTERN DOTS-256	⠲	&#10290;	&#x2832	76	4C	01001100
BRAILLE PATTERN DOTS-2567	⡲	&#10354;	&#x2872	78	4E	01001110
BRAILLE PATTERN DOTS-25678	⣲	&#10482;	&#x28F2	79	4F	01001111
BRAILLE PATTERN DOTS-2568	⢲	&#10418;	&#x28B2	77	4D	01001101
BRAILLE PATTERN DOTS-257	⡒	&#10322;	&#x2852	74	4A	01001010
BRAILLE PATTERN DOTS-2578	⣒	&#10450;	&#x28D2	75	4B	01001011
BRAILLE PATTERN DOTS-258	⢒	&#10386;	&#x2892	73	49	01001001
BRAILLE PATTERN DOTS-26	⠢	&#10274;	&#x2822	68	44	01000100
BRAILLE PATTERN DOTS-267	⡢	&#10338;	&#x2862	70	46	01000110
